a1,a2,a3,a4,b1,b2,b3,b4,x,w,m1,m2,y
-0.9769,-0.7061,0.9782,-0.3716,0.4116,1.5741,-0.0289,-0.802,-0.0748,-0.0864,-1.7232,-0.4481,-0.5395
-0.0168,-2.638,0.5799,-1.0188,0.1281,-0.1894,0.2123,-1.0694,-0.4267,0.2476,0.6924,-0.7632,-0.0559
-0.806,-1.0114,-0.5983,-1.0825,-1.1018,-1.2184,-1.6189,-0.391,-1.5918,-1.8371,0.8556,-0.5538,-1.6781
-1.7466,-1.7278,-1.0377,0.2102,-1.4762,-0.4686,-0.1696,-0.9043,-2.0459,-2.1189,-2.4828,-0.7713,-2.8206
-0.7781,-0.309,-0.2681,-1.17,1.21,0.1426,0.0967,-0.7781,0.1487,0.8455,-1.1838,0.2468,-2.2664
-0.1162,-1.445,0.8698,0.1647,-0.0369,-0.8548,-0.3172,-1.1643,-1.0454,-1.1227,-2.3268,1.0809,-1.2561
-0.0586,0.8208,0.495,0.5134,0.3025,-0.2263,0.4139,-0.6603,0.4143,0.4263,-1.4566,-0.2179,0.6663
-0.5776,-0.6599,-0.7095,-1.4169,-0.0388,-0.0167,-0.3612,0.8391,-0.8002,0.3426,-1.1237,-2.2668,-1.3233
1.1118,-0.434,0.744,-0.0739,0.9451,0.8957,1.3005,0.5257,0.803,1.0739,-1.0658,0.2072,1.6924
1.2703,1.9523,-0.2147,0.1425,-0.5728,-0.8294,-2.332,-1.3199,0.8851,-1.0662,1.3217,1.3723,2.9025
0.7037,-0.2109,-0.2166,-0.3306,-0.0595,0.1441,-0.039,0.4357,0.3823,0.3433,0.8052,-0.9307,0.1238
-2.3126,-1.5004,-0.1961,-1.9252,-1.2279,-1.3606,-0.1864,0.5801,-1.1993,-1.1586,-0.1549,0.7851,-1.0268
-1.801,-1.3626,-2.0151,-1.4697,-2.8849,-3.0289,-1.3962,-0.9175,-2.0413,-2.8611,-3.0433,-0.864,-3.6784
1.1577,0.7606,2.4737,1.7391,-0.4733,0.392,-0.001,1.7196,2.1419,1.228,1.8967,0.6769,2.6521
-0.0734,-0.004,-0.3697,-0.6635,0.8438,1.8165,0.9596,0.5225,-0.0535,0.6768,0.6008,-0.9132,-0.4625
1.2169,2.7298,3.0978,1.1153,-0.0626,-0.4377,0.9513,0.1608,2.0493,0.5239,1.4356,2.6916,2.6969
0.8267,-0.0392,0.1335,-0.8618,1.7074,0.8534,0.3,-0.0552,-0.2376,0.4022,0.4366,-0.563,0.6854
-1.8486,-0.8862,-1.051,-0.2633,0.0328,-0.4813,0.7612,0.063,-1.1791,-0.2479,-0.0528,-1.4449,-1.4803
0.6363,0.2117,0.4201,-0.3731,0.2598,-0.3643,1.0893,1.5755,0.0038,0.172,0.0542,-0.1992,0.579
-1.1027,-1.1932,-0.59,-1.0065,-1.9756,-1.7724,-1.2091,-1.8427,-1.2333,-2.2516,-1.3578,-0.5381,-3.9294
0.306,-1.0823,-0.1459,1.0826,1.3299,0.1773,0.4966,1.5321,0.0469,0.5568,0.6467,-0.4834,0.745
1.1736,1.2946,1.4731,1.4883,-0.8788,-1.1491,-0.5492,-1.1336,1.6459,-0.5245,0.0754,1.6177,0.1529
0.499,0.9772,0.855,1.9716,-1.2652,-0.9692,1.0782,-1.3018,0.9013,-1.0271,-0.1876,-0.4743,-1.8399
2.0772,2.1012,0.5086,2.9585,0.7819,0.9599,0.9522,0.5923,3.101,0.7234,2.4191,1.8588,3.1218
1.0786,-0.2432,-0.5365,0.6215,0.6123,1.3377,2.3952,0.2409,0.3708,1.2622,2.0993,0.1209,3.1609
0.3761,0.2577,0.8551,-0.1152,0.8439,-0.0605,-0.8908,-0.087,0.3483,0.6818,-0.3812,-0.5577,-0.5829
-0.8655,-0.7787,-1.3625,-0.3651,1.0441,0.7152,0.2805,0.8343,-0.9028,0.855,-1.4833,-0.0941,-0.5316
-0.525,0.0218,0.1958,0.2042,-1.8047,-0.3369,-0.0792,-1.9262,-0.9297,-0.7175,1.1503,-2.0281,0.2403
0.3632,0.4802,0.0613,-0.2487,1.1314,1.0865,-1.075,0.6632,0.2765,0.6056,-2.1623,1.0892,-2.1852
-0.9241,-0.5093,-0.6342,-1.1221,-0.7644,0.4764,-0.5057,1.0857,-0.8878,-0.7937,-0.4095,-0.3128,-0.4502
-0.0617,-0.437,-0.8135,-1.006,-0.7959,-1.2332,0.0119,-1.3771,-0.3133,-0.662,0.995,1.0954,1.893
0.0505,-1.1233,-0.2725,-0.0885,-0.01,0.0776,-0.2743,0.233,-0.3042,0.2984,0.053,-1.8851,0.8477
0.0588,-1.4746,-0.0854,-1.4142,-0.8197,-0.2628,0.0115,-0.3568,-1.1554,-0.5855,-0.922,-0.7357,-2.6231
1.3147,1.9355,2.9851,1.7087,0.2383,-1.1798,-0.8746,-0.7219,2.3403,-0.6381,3.6643,1.0827,2.6538
-2.7621,-1.1518,-2.0967,-1.0359,0.2261,-0.6907,-0.5292,0.5166,-1.9401,-0.3911,-1.5849,0.931,-2.0677
-0.1098,0.3886,0.4258,0.8046,0.7722,-0.6583,0.0941,-0.0411,0.1562,-0.464,-1.2184,1.2853,0.7198
1.9009,-0.0147,-0.3564,0.7765,2.154,1.8557,1.7669,2.1406,1.0003,2.1617,0.4754,0.2644,1.456
1.2854,1.5976,-0.6233,1.0661,2.3696,-0.391,-0.0664,-0.7702,1.1376,0.5046,-0.2076,-0.9571,-0.0551
-0.3776,-0.7538,-1.3453,-0.8636,-0.9256,0.648,-0.0175,-0.1009,-0.4148,0.0347,-0.7829,-0.5472,-1.1651
-1.049,-0.4981,-0.7406,-1.3021,-3.2807,-2.3121,-2.0474,-0.5874,-1.0319,-1.8377,-1.4231,-2.4684,-0.9264
1.2101,2.5213,1.6375,2.8502,1.7795,1.6648,1.3495,0.6524,2.478,2.0837,2.5397,0.7439,2.4222
2.6271,1.3388,1.6902,1.6733,1.9955,1.1512,1.3332,1.1761,2.2227,1.5761,1.6918,1.7323,2.0058
0.7759,0.8783,0.9241,0.2899,-0.8999,-0.51,-1.5786,-0.1037,0.1801,-0.8138,-0.6472,1.3127,-0.6658
1.0268,-0.8924,0.7163,0.7906,0.3811,-0.3851,0.0699,-0.453,0.0516,-0.3282,0.1752,0.5126,-0.1389
-0.452,-0.1507,0.0135,-0.4382,-0.9543,0.4642,-1.0705,-1.1488,0.1323,-1.1275,0.4167,0.3276,-1.3987
-0.0926,-1.5931,-1.4642,0.109,0.1197,0.2977,1.0256,1.291,-1.1124,1.2173,0.2097,0.9821,-0.072
0.5286,0.6161,-0.4172,1.2348,-1.8097,-0.8551,-1.1702,-1.1101,-0.0158,-1.162,0.4695,-1.918,0.3799
1.3289,1.2225,0.7986,1.9418,1.4284,1.8406,1.039,-0.6743,1.1388,1.5082,-0.1179,0.2016,0.51
0.0609,2.0845,0.9391,0.8932,-0.2447,-1.2986,0.0702,-0.0768,0.7829,-0.5887,-0.0382,1.7024,0.1938
-0.7141,-0.1007,-0.7796,-0.4677,1.5093,0.7415,1.2553,0.5712,-0.9352,1.7569,-0.9911,-1.7994,-0.7186
0.3184,0.8041,0.6591,0.8645,0.9682,0.9472,1.0806,1.6781,0.8165,1.8514,1.0502,2.2776,1.4493
-0.6158,-1.5455,-1.8065,-0.6581,0.2759,0.783,0.015,-0.3743,-0.8215,0.4779,-2.1774,-0.1402,-2.1773
-2.3163,-1.6278,-1.541,-1.9889,0.2694,-0.9889,-1.7778,-0.6013,-1.6415,-0.8894,-1.1295,-0.0716,1.2589
-0.2895,0.3018,0.1126,0.9521,-0.7884,-0.4585,-0.0419,0.5115,0.3933,-0.3224,-0.0017,0.8666,0.8124
0.318,0.3243,-1.0872,-0.7096,-0.032,0.1715,1.8368,1.5527,0.6869,0.8727,1.482,-1.3136,2.2025
0.1149,1.8276,0.3306,0.7149,0.4595,0.9015,0.7549,0.6522,1.5289,0.995,0.7488,0.382,0.8541
-0.5293,-0.9215,-1.1044,-0.6206,-1.0018,-0.5527,-0.508,-1.9886,-0.8399,-1.3524,-0.9141,0.4309,-2.2215
1.3374,0.4064,0.8404,-0.2054,2.8551,0.7671,0.0787,1.3862,1.1063,1.5008,1.4819,1.2623,0.6894
0.2327,0.0573,0.3617,0.2411,-0.4776,0.0949,0.9592,-0.3391,0.5855,0.6642,0.8065,1.6136,0.9186
0.1309,-0.4818,-1.2275,1.0938,0.3402,0.2727,-0.3674,0.2522,0.2876,-0.2428,-0.2745,-1.149,0.4346
-0.3782,-1.6058,-0.2793,-0.1728,-0.3791,-0.9679,-0.021,-1.8689,-0.4082,-0.2719,-1.0294,2.3306,0.9389
0.4269,0.2232,0.7694,0.9345,-0.2886,0.5993,0.8001,1.0655,-0.2288,0.3688,0.9741,-0.2479,0.9757
0.877,0.9246,0.9003,0.7869,-0.7023,1.1915,0.2876,1.6634,0.5338,0.8113,-0.1097,0.8927,0.8723
0.8641,0.173,-0.3042,-0.8498,1.2912,-0.8751,-1.3233,-0.4431,0.3629,0.2426,0.9796,3.091,0.4024
-0.65,-1.1886,-1.6463,-0.3149,0.5258,0.397,0.1703,0.237,-1.2089,-0.3803,-1.8405,0.2284,-2.8818
-0.3183,-1.6866,0.5189,-1.1607,-1.3768,-1.8848,-2.4925,-0.5188,-0.589,-1.8097,-1.2971,0.8498,-1.9261
0.3608,1.473,-0.4424,1.325,2.0159,0.8721,1.0927,2.0094,-0.081,1.6681,-0.3987,1.6896,1.2054
1.5736,1.2866,0.2741,0.2221,-0.3848,1.3653,-0.2428,0.0266,1.0097,0.4046,0.6386,0.8338,2.3737
1.8278,0.0172,-0.9194,0.2526,-0.6236,-1.5712,-1.1966,-0.7258,0.4874,-0.7441,1.8533,-0.1254,-0.3746
0.568,-0.4883,1.1343,0.7127,0.0378,0.9349,1.8505,0.2672,-0.0266,0.6264,0.7931,0.798,1.8136
-0.4543,-0.2156,-0.3236,-0.0319,-0.9969,-1.6395,-1.933,-1.8454,-0.2527,-1.4702,-0.9862,0.1356,-1.0449
1.0642,2.3464,0.1582,0.5735,-0.0831,0.5839,-0.1827,0.2943,1.6321,0.6004,1.5236,-0.997,3.0976
-0.8482,-0.7879,-0.6952,-0.1393,-1.9709,-1.9685,-2.6016,-2.3174,-0.4671,-2.7218,0.55,0.6208,-0.7193
-0.4584,-0.9251,-0.5256,-0.24,-0.7092,-1.5464,-0.4756,-0.7265,-0.7923,-0.6347,-1.1315,-0.1477,-1.3243
-0.0699,-1.1366,0.4985,-0.6235,-0.927,-1.5606,-1.1586,-0.6425,-0.4597,-1.0668,-1.4206,1.0605,-1.0365
-0.1619,-0.1067,0.3351,-0.9842,-0.521,-0.9388,-0.1441,-0.3393,0.3681,0.0932,-1.2974,1.5073,0.6166
-0.2141,0.6689,-0.631,0.1834,0.9384,-0.3173,0.9748,0.3055,0.006,1.0262,-0.6183,0.2914,0.1526
-0.1983,-0.4498,-0.1091,-0.5014,0.6753,-0.068,0.9492,1.2434,-0.5583,0.8998,2.6131,-0.5795,2.1607
0.2369,-1.0267,-0.5809,-0.6525,-0.9387,-1.4603,0.0902,0.2963,-0.4792,-0.6088,-0.2033,-2.6902,0.6036
0.4321,1.7861,0.4557,-0.3565,0.8692,0.8203,2.3986,0.686,0.5502,1.5546,-0.9601,-0.55,-1.0113
1.69,-0.0702,0.4474,1.3153,1.3233,1.9292,1.1485,0.3432,0.4959,1.8353,0.9703,0.067,1.2472
0.6533,0.7539,0.0357,-0.4096,2.1362,1.6491,0.6677,1.6313,0.3341,1.1604,-0.287,0.5399,0.3149
-0.5246,-0.2131,-0.9268,-0.2804,-0.7903,-1.3478,-0.8028,-1.7461,-0.9556,-1.4174,-1.1199,0.6878,-0.9749
-0.546,-1.0424,-1.2757,-0.6194,0.1624,0.5572,-1.4791,0.3923,0.0152,-0.4961,-2.2284,-0.2253,-2.273
1.6108,0.0034,1.4904,0.7319,1.4186,1.6335,0.812,0.7411,1.2532,1.5015,-0.0286,-1.5509,0.3354
-0.7946,-0.5366,-0.8841,-1.4091,-0.6434,-0.4917,-1.5943,-1.898,-0.7359,-1.7345,-0.0676,1.2603,-0.5484
1.3715,0.8915,1.3096,0.2294,1.207,1.4154,1.5614,1.7316,1.7466,1.6739,2.9999,1.8244,2.6238
-0.7827,0.862,0.4737,-0.0215,0.5652,-1.2587,1.2441,-0.2912,0.2481,0.1539,0.1594,-0.1508,-0.077
1.5086,1.0298,0.4,1.3899,2.6801,2.1024,1.5093,2.2619,0.9905,2.5612,0.622,-0.6333,-0.3649
0.3203,-2.1816,-0.2214,-1.6799,-0.8368,-0.4141,-0.3719,-0.4168,-1.0231,-0.4357,-0.07,-1.3135,0.0889
1.2838,2.2909,1.4284,2.3959,1.5479,0.5138,-0.1496,0.9112,1.4328,1.3131,0.2612,1.9568,1.145
-0.0697,-0.6036,0.7529,-0.4175,-0.3834,-0.5062,-0.7,-0.3118,0.0986,-0.3309,-1.1209,-0.5452,-0.7424
0.3811,0.1727,0.6028,1.2844,-1.4005,-0.2463,0.22,-0.5365,0.4583,-0.9382,0.9981,0.5102,-0.3581
0.4032,1.0884,1.1646,-0.27,0.7797,0.6679,0.447,0.0229,0.7669,0.4303,1.6395,-0.7724,1.0047
1.7993,1.4589,2.2146,0.2766,0.3658,0.0466,0.3341,0.3444,1.6797,0.0579,2.2308,-0.4159,3.3378
0.2241,-0.0314,-0.5033,-0.3906,0.0475,-0.5211,1.7673,1.1994,-0.1091,0.7427,-0.2222,-1.013,-1.3795
0.4811,0.6196,-0.5773,0.1985,1.0627,0.9662,0.9803,0.1281,0.7062,1.1105,-0.3325,0.202,1.4789
-0.4413,0.3538,-0.0734,-0.0135,1.0544,0.1106,0.507,0.6923,0.2788,0.4052,-0.3818,-0.1124,-0.8174
-1.4606,-0.7194,-0.9016,-1.3827,-0.0283,-0.5113,-0.8176,0.4237,-1.4624,-0.8151,-2.0354,-0.9544,-2.6074
-0.9684,-1.7433,-1.5835,-0.2008,-0.4951,-1.1797,-0.3147,-0.2619,-1.1025,-0.4108,0.4839,-1.0673,-2.5732
-1.5124,-0.7884,-1.3697,-0.1673,-1.0102,-2.5844,-1.2211,-0.7854,-1.3512,-1.1189,-2.1719,0.1504,-1.9673
1.0903,-0.0154,0.4053,-0.117,-1.22,-0.0973,0.1835,0.1898,-0.059,-0.1448,1.6149,0.0388,0.841
-0.5687,0.9311,1.1614,2.0829,-0.1575,0.5587,-0.1574,-0.4038,0.3264,0.3375,0.7003,1.3264,0.1348
-0.1508,0.8593,0.1731,1.0435,0.3671,1.7449,0.4064,0.908,0.6058,0.6633,0.3279,-1.6494,1.0504
0.7434,-0.0594,1.2902,1.766,-0.063,-0.0319,0.6926,0.9622,1.1,0.2134,-1.3261,2.0005,1.122
0.8564,-0.8952,0.5595,0.5335,0.6785,0.9852,1.5753,0.1539,0.3619,0.3238,-0.4126,0.5509,-1.1556
-1.2227,-0.4203,-1.4871,0.2727,0.624,-1.5751,-0.4552,-1.0817,-1.1885,-1.4969,-1.8576,-0.5119,-0.8609
1.1891,0.6507,1.195,0.6078,0.834,0.4652,0.667,1.146,1.8788,0.9986,2.9892,0.774,2.7965
0.6853,0.7263,0.6567,0.5825,2.3472,1.6988,0.5798,2.1042,0.2583,1.8672,-0.5765,-0.7723,-0.0126
0.5802,0.3912,-0.3744,-0.2115,0.0513,0.2028,-1.6102,0.7908,-0.5304,0.0216,0.4407,-0.7388,-0.5753
-1.4986,-1.243,-0.785,-2.1351,-0.0593,-0.6815,0.152,-0.2965,-1.5528,-0.8171,-0.8021,-0.1429,-0.0355
1.1232,0.7317,-0.4251,-0.9557,0.431,-0.5408,0.6756,0.1567,0.6603,-0.0316,0.3022,3.6642,1.0915
-0.5346,-2.5248,-1.1595,-1.5006,-0.7814,-0.6369,-0.6352,-0.4944,-1.4772,-1.8321,-0.9597,-0.3225,-1.3234
0.9935,1.7317,0.3467,1.779,0.6952,0.8823,0.4808,1.0145,1.2846,0.8198,1.9613,-0.7877,2.1778
-0.2706,-0.1391,-0.691,-1.5237,0.1186,1.2302,1.4247,0.4422,0.3033,0.7124,-0.0241,-0.6307,0.248
-1.4848,-0.7481,-1.2,-0.0843,-1.5025,-0.3358,-0.0991,0.5405,-1.7465,-0.5862,-2.7157,-1.1244,-1.9688
-0.3796,-0.1402,-0.5067,0.3315,0.2602,0.3875,-1.2275,-1.4748,-0.3994,-0.6903,-0.0703,-1.2542,-1.4371
2.0647,1.8284,0.4258,1.7908,0.6955,0.1724,0.8891,0.1269,1.9063,0.8897,0.68,1.8438,2.0514
-1.8465,-1.928,-0.8266,-1.4868,-0.9382,-0.431,-0.408,0.177,-1.8984,-1.2344,-1.6964,-0.3578,-1.7071
0.9809,-0.734,-1.5759,-0.9511,0.8505,1.7183,1.6124,0.4017,-0.517,0.8391,1.035,0.4145,0.9164
-1.0273,-3.9456,-2.2739,-1.4863,-0.515,-0.5076,-0.9103,-0.0985,-2.1489,-1.3738,-1.3673,-1.4407,-1.0333
0.2134,0.3109,0.8461,1.1759,-0.1564,1.4529,0.6536,0.8662,0.1309,0.8684,-1.2638,1.7912,-0.224
1.6839,0.5796,1.7225,1.3379,-0.6137,0.7378,-0.234,0.1605,1.8678,0.3088,2.2588,1.4545,3.0296
-0.1605,-0.0801,0.5289,-0.2402,-1.0468,-0.6816,-0.8861,-0.8268,-0.0573,-0.8273,-1.6567,-1.5309,-1.5016
-0.9074,-1.4921,-0.4414,0.2201,-0.7891,-0.5076,0.6251,-2.1714,-0.1562,-0.0662,0.0313,-0.8203,0.0189
-0.1899,-0.797,-0.3086,-0.3983,-0.1447,-0.8181,0.3481,-0.753,-0.3539,-0.0969,0.6448,1.3717,-0.2076
0.078,-0.7677,-1.5134,-0.0249,-1.0316,-1.4172,-1.074,-0.0975,-0.312,-0.6215,0.3274,0.5844,-0.0048
-0.3773,-0.4949,-1.1157,-1.6038,0.6821,0.1172,1.5816,0.8004,-0.3912,0.6865,-0.5039,1.6658,-0.0696
1.1262,-0.091,1.2824,0.9121,-0.6245,-0.8297,-0.7084,0.2995,0.6618,-0.9744,-0.0919,2.5547,0.888
0.9093,0.7435,1.0395,-0.0636,-0.1019,-0.3869,-0.1938,0.51,1.0463,0.2914,-0.4652,1.8421,0.9319
-2.0076,-0.2647,-1.8095,-0.7172,-0.7892,-0.5166,-1.1825,-1.132,-2.445,-1.0883,-0.2574,0.6839,-2.1089
-2.7049,-2.3266,-1.4743,-1.5526,-1.2285,-1.8311,-0.447,-1.8677,-2.7371,-1.9255,-2.4176,-0.7987,-2.2672
1.2566,0.2535,1.3149,0.838,0.2783,0.4833,-0.1159,-0.1301,1.0037,0.6938,1.6444,-0.2624,2.2493
0.0082,0.7051,-0.0897,1.0767,-0.5552,-1.4925,-1.291,-1.1648,1.0024,-0.8439,0.3101,-0.7488,0.01
-1.4213,-1.1424,-1.0927,-1.281,-0.7567,-1.381,-1.5007,-2.0495,-1.5358,-2.0128,-0.8124,-2.7302,-0.4883
-0.4909,0.8976,-0.0008,-0.0082,-0.6189,-0.5865,-0.1817,0.9054,-0.3529,0.0125,0.2387,0.8997,-0.0234
1.1533,-0.2631,-0.5266,-0.0097,-1.4474,-0.1533,0.4811,0.0484,0.2962,0.268,-0.0197,0.3348,0.685
-0.148,0.7099,0.8105,-0.24,0.9075,1.4982,1.709,0.3335,0.6735,1.3104,1.5158,-0.7964,0.6419
0.0975,-1.0942,-0.3889,0.4689,0.7387,1.7448,0.0683,1.1526,0.0751,0.3971,0.3535,-1.5341,1.2598
0.76,0.4461,0.8622,-0.4035,-0.2311,-0.4354,-0.391,0.5252,0.255,0.233,0.6515,0.4406,0.5332
-0.3819,-0.4195,0.087,-0.2927,0.2823,-0.4289,-0.167,0.4767,-0.2861,0.0581,-0.757,-0.9019,-1.5098
1.2741,-0.4267,0.4532,-0.1797,0.5807,0.2287,1.2041,0.5981,0.7361,0.7431,1.2373,1.1656,1.8601
-0.1013,0.6425,-0.8815,0.3467,-1.2937,-1.1613,0.0275,-0.0893,-0.0842,-1.206,-1.3021,-0.2367,-1.649
-0.0808,-1.5513,0.3273,-0.9664,-0.2682,-0.1956,0.7994,1.5094,-0.3176,0.3256,-0.7082,0.2096,-0.7961
0.2066,-0.7823,-0.3308,-0.4461,0.8506,-0.9223,-0.5373,0.2186,-0.4106,-0.3244,-0.9776,-0.004,1.0897
-0.155,-1.3938,-0.7985,-1.2521,-0.2443,0.6634,-0.4834,-0.5666,-0.7779,0.1393,-0.5919,-0.484,-0.0319
0.1505,-0.1837,0.0389,1.0064,-0.4562,-1.8192,0.468,-0.8217,0.639,-1.0231,0.7251,0.9173,1.5071
0.9171,0.3224,0.2676,0.4589,1.1851,1.8398,-0.2681,-0.2269,0.2526,0.9974,1.8739,0.2916,1.696
-0.1704,-1.3271,0.8047,-0.0127,1.3233,1.7068,1.334,0.0598,0.2074,1.2799,-0.6234,-0.3676,-0.204
0.8063,-0.2366,-0.0334,0.1356,0.3606,0.3657,-0.5025,-0.6545,-0.3704,0.1942,1.32,0.8884,0.2583
0.2516,1.2424,1.2207,0.1683,1.9161,1.8393,3.0262,3.5715,0.6901,2.3871,-1.5077,0.9817,1.0659
0.5496,-0.313,0.5889,1.0151,-2.1333,-1.1757,-1.3657,-2.5103,0.2319,-1.2126,-0.1496,-0.3522,-0.4562
-1.2103,-0.6635,-1.1108,-2.0972,-0.9013,-1.4655,-1.0387,-0.6673,-1.2231,-1.0745,0.0376,0.4678,-0.5478
-1.3734,-1.7497,-1.6525,-2.5432,-0.304,-0.5911,-0.7794,0.2066,-2.5977,-1.2047,-3.3881,-0.8881,-2.566
0.2261,-0.1896,-0.2507,-2.1959,0.6912,1.4201,-0.3016,0.101,-0.5711,0.2933,-2.3238,-0.8054,-2.2104
0.1544,-0.1881,-0.0725,-0.1026,-0.0133,-0.6762,0.4308,-0.8435,-0.1608,0.0259,0.2509,0.4095,-1.4996
2.0607,1.6694,1.4088,2.2043,1.2065,0.9888,0.8774,1.0308,2.0549,1.2641,1.1552,1.765,1.4174
-0.1914,0.3331,1.2323,1.776,0.9467,1.102,1.1056,1.1613,1.3692,1.1777,1.4232,0.0499,1.1096
0.2398,0.4932,1.2451,0.2608,0.194,0.9227,-0.0403,0.1272,0.7697,-0.1627,0.4703,1.2683,1.4211
2.0635,0.6545,2.5334,1.0576,2.8291,2.0359,2.7999,2.0551,2.4232,2.2265,1.315,1.2431,2.0883
-0.5261,0.3188,-1.1761,-0.2905,0.3448,2.0425,-1.3803,0.2894,-0.5913,0.8751,-1.6695,-0.1875,1.0204
0.1841,0.1163,0.5891,-0.8357,0.0614,-1.6432,0.6504,-0.7699,0.1553,-0.398,-0.4506,1.1422,-0.0306
0.9699,-0.3643,1.4628,-0.1759,-0.7559,-0.0556,-1.1742,0.4527,0.801,-0.3693,-0.2275,0.8102,-0.0757
1.0462,0.6725,-0.3605,1.0464,0.1653,0.0794,-0.0354,-0.3584,-0.0445,-0.4886,0.4903,0.6857,-0.1129
-0.0346,-0.4138,0.2454,-0.8846,-0.6873,-0.5963,-0.779,0.0226,-0.2136,-0.9336,-1.0212,0.8887,-0.5875
