school_id,student_id,engagement,prior_achievement,school_support,performance,completed,support_contacts
6,06-10,-0.1876,-0.7289,-1.4836,39.4643,0,0
6,06-11,-1.1315,-0.1962,-1.4836,37.6419,0,0
6,06-12,1.623,1.5342,-1.4836,60.6936,0,1
7,07-01,0.7611,0.4762,2.0792,66.6406,1,5
7,07-02,2.5379,0.9794,2.0792,72.3637,0,3
7,07-03,-1.1224,-1.1204,2.0792,48.9508,0,1
7,07-04,-0.0756,-1.3306,2.0792,51.1874,1,1
7,07-05,0.36,0.9359,2.0792,59.0812,0,2
7,07-06,-0.2692,0.0062,2.0792,54.4522,0,3
7,07-07,-1.1631,0.8333,2.0792,58.1016,1,3
7,07-08,0.8142,-1.4482,2.0792,55.9989,1,0
7,07-09,-1.7656,-1.8292,2.0792,43.839,0,0
7,07-10,0.0776,-0.6871,2.0792,47.6723,0,3
7,07-11,-1.2689,0.1622,2.0792,49.4194,0,0
7,07-12,0.6897,1.5234,2.0792,61.5039,0,2
8,08-01,-0.2448,0.9608,0.469,49.432,1,2
8,08-02,1.141,1.4773,0.469,60.6032,1,3
8,08-03,0.2549,-1.4118,0.469,56.0789,1,3
8,08-04,0.9789,0.1723,0.469,56.6233,1,0
8,08-05,0.451,-0.6512,0.469,52.6945,1,4
8,08-06,-0.9236,0.4973,0.469,46.0486,0,3
8,08-07,0.8955,-0.1204,0.469,56.1233,1,3
8,08-08,2.9609,0.8042,0.469,68.3985,1,4
8,08-09,0.0444,-1.0392,0.469,52.1656,0,2
8,08-10,1.6023,0.0644,0.469,64.2199,1,2
8,08-11,-0.1123,-1.7731,0.469,44.3625,0,2
8,08-12,-1.057,-0.2745,0.469,47.3907,0,1
9,09-01,-0.733,-0.9093,-0.929,41.5234,0,2
9,09-02,0.8724,-0.6032,-0.929,47.6873,1,2
9,09-03,-0.1413,0.2899,-0.929,45.5483,0,2
9,09-04,-0.3341,-0.2313,-0.929,41.666,0,1
9,09-05,-0.1775,-0.56,-0.929,49.6237,0,1
9,09-06,-0.5173,0.4571,-0.929,46.8799,0,0
9,09-07,-1.118,-1.2489,-0.929,37.1783,0,1
9,09-08,0.6626,-0.5732,-0.929,47.0137,1,2
9,09-09,-2.9002,-0.3968,-0.929,32.7964,0,2
9,09-10,0.4447,0.4292,-0.929,49.4306,0,3
9,09-11,-0.2272,0.8323,-0.929,47.7026,1,0
9,09-12,-2.303,1.02,-0.929,35.1121,0,1
10,10-01,0.9041,1.8578,1.3753,61.3529,0,2
10,10-02,0.2539,0.2391,1.3753,54.4504,0,0
10,10-03,2.0118,-0.5807,1.3753,61.9237,1,2
10,10-04,0.2677,1.0311,1.3753,57.5983,0,1
10,10-05,-0.5996,0.5041,1.3753,49.4582,1,1
10,10-06,-0.7726,-0.8382,1.3753,48.2086,1,1
10,10-07,-0.1423,1.8442,1.3753,62.1004,1,2
10,10-08,0.0224,-0.2247,1.3753,57.6548,1,0
10,10-09,0.4284,0.8912,1.3753,64.0003,0,1
10,10-10,-1.0082,-2.2529,1.3753,44.7282,0,1
10,10-11,0.0795,0.2868,1.3753,54.8001,1,0
10,10-12,-0.2326,0.5587,1.3753,57.5493,0,3
11,11-01,1.4619,0.6082,1.331,62.9627,0,4
11,11-02,-0.2848,-0.4742,1.331,50.3487,0,2
11,11-03,-0.9398,-1.5302,1.331,40.7302,0,3
11,11-04,0.1165,0.6372,1.331,59.3488,1,2
11,11-05,0.3718,0.4725,1.331,60.2356,1,0
11,11-06,-0.7767,-0.9593,1.331,44.6343,0,3
11,11-07,-0.0962,2.0232,1.331,55.8238,0,5
11,11-08,1.3071,-0.4727,1.331,58.6341,1,3
11,11-09,0.6813,0.533,1.331,59.0154,1,4
11,11-10,-0.689,1.4561,1.331,55.6374,1,2
11,11-11,-0.7019,0.5058,1.331,47.0392,1,1
11,11-12,0.0949,-1.1711,1.331,51.9288,1,1
12,12-01,-0.9029,0.3803,2.9644,60.0511,0,3
12,12-02,-0.0884,0.1293,2.9644,54.8672,1,5
12,12-03,-0.8554,-1.8484,2.9644,56.907,0,6
12,12-04,0.4726,0.7247,2.9644,63.6411,1,2
12,12-05,-1.4607,0.176,2.9644,51.2829,1,3
12,12-06,-0.9698,0.0554,2.9644,55.6793,1,4
12,12-07,-0.1805,-0.7743,2.9644,54.2723,1,0
12,12-08,0.0063,1.2225,2.9644,58.3447,0,2
12,12-09,-0.6572,-0.1624,2.9644,55.8954,1,0
12,12-10,-0.5928,1.9285,2.9644,63.1209,1,3
12,12-11,-0.9854,-1.8821,2.9644,49.9116,1,3
12,12-12,1.4795,0.1928,2.9644,61.0153,1,3
13,13-01,0.1411,0.1493,-1.3769,50.2736,0,1
13,13-02,1.2563,-0.6765,-1.3769,51.9471,0,3
13,13-03,-0.9574,-1.0766,-1.3769,40.1966,0,2
13,13-04,-1.4234,0.1699,-1.3769,40.1319,0,0
13,13-05,0.8613,-1.1504,-1.3769,48.5921,0,2
13,13-06,-0.1254,1.4861,-1.3769,46.8197,1,0
13,13-07,-1.11,0.5002,-1.3769,39.0338,1,0
13,13-08,-1.2943,0.9101,-1.3769,42.9845,0,1
13,13-09,-3.1114,-0.921,-1.3769,24.5967,0,0
13,13-10,0.6443,1.4726,-1.3769,59.0837,0,0
13,13-11,0.7061,-1.096,-1.3769,43.4068,1,1
13,13-12,-0.9527,0.4894,-1.3769,46.1663,0,1
14,14-01,0.316,3.2362,-1.9178,56.0227,0,3
14,14-02,0.0325,0.6105,-1.9178,44.7916,1,0
14,14-03,-1.0993,0.4222,-1.9178,43.7111,1,4
14,14-04,-0.2349,0.9257,-1.9178,44.7372,1,3
14,14-05,1.6314,0.2148,-1.9178,55.0949,1,2
14,14-06,0.7662,-1.3521,-1.9178,44.6684,0,1
14,14-07,1.8405,0.0365,-1.9178,58.3079,0,0
14,14-08,0.8841,-1.8277,-1.9178,46.742,0,0
14,14-09,-1.0883,0.2612,-1.9178,38.6563,0,0
14,14-10,0.0218,-0.0709,-1.9178,45.3946,0,2
14,14-11,-0.4483,-1.351,-1.9178,36.0677,0,1
14,14-12,0.9162,1.7245,-1.9178,54.3602,1,1
15,15-01,-1.8727,-0.0513,0.8423,38.711,0,1
15,15-02,-0.2725,-1.4782,0.8423,46.4614,0,1
15,15-03,-0.7512,0.52,0.8423,49.1397,1,3
15,15-04,-1.1478,0.0488,0.8423,56.9431,0,1
15,15-05,0.4928,-1.9449,0.8423,51.0336,1,0
15,15-06,2.5711,0.1691,0.8423,69.6449,1,2
15,15-07,1.1101,1.1884,0.8423,64.6438,1,7
15,15-08,0.2826,-0.1843,0.8423,53.339,1,2
15,15-09,0.1203,0.427,0.8423,51.1136,0,4
15,15-10,-0.2805,-0.0406,0.8423,52.2138,1,1
15,15-11,-0.3097,0.8064,0.8423,53.5584,0,4
15,15-12,-0.3754,-1.2369,0.8423,46.1213,1,3
16,16-01,0.9243,-0.7026,0.2296,50.5683,1,3
16,16-02,1.1147,1.1634,0.2296,56.6795,0,1
16,16-03,-0.3556,-1.2241,0.2296,48.5329,0,1
16,16-04,0.9047,-0.4388,0.2296,58.0185,0,0
16,16-05,0.9186,-0.1237,0.2296,56.8598,1,3
16,16-06,-1.6547,-0.2628,0.2296,43.2803,1,0
16,16-07,-0.0104,2.0499,0.2296,56.7928,0,2
16,16-08,0.3665,-1.328,0.2296,48.5853,0,1
16,16-09,-0.7835,2.3488,0.2296,51.8096,0,0
16,16-10,0.1191,1.2158,0.2296,56.3407,0,5
16,16-11,-1.4113,0.6385,0.2296,48.0276,0,2
16,16-12,-0.1816,0.4643,0.2296,51.4246,0,0
17,17-01,-0.5864,0.539,-1.3854,46.8712,0,0
17,17-02,0.2734,-0.3727,-1.3854,49.8905,1,2
17,17-03,0.1375,0.3535,-1.3854,44.6608,0,1
17,17-04,-0.2176,0.9981,-1.3854,49.0524,0,1
17,17-05,-0.1871,0.0082,-1.3854,45.0934,0,1
17,17-06,-0.9412,-0.1853,-1.3854,38.7803,0,1
17,17-07,-1.3858,0.1522,-1.3854,38.5475,0,2
17,17-08,-1.4638,-0.795,-1.3854,35.9671,0,1
17,17-09,-2.8911,0.184,-1.3854,32.4781,0,0
17,17-10,0.6489,-0.5953,-1.3854,42.8183,0,0
17,17-11,0.6283,-1.375,-1.3854,46.659,0,0
17,17-12,-0.6757,-1.0122,-1.3854,40.4326,1,0
18,18-01,-1.6885,0.8312,1.1222,47.3263,0,1
18,18-02,-0.2717,1.3084,1.1222,50.4886,0,3
18,18-03,-0.5046,0.0049,1.1222,49.9127,0,0
18,18-04,-2.4366,0.3493,1.1222,42.1737,0,0
18,18-05,1.0108,2.0399,1.1222,62.6927,0,5
18,18-06,0.3845,0.2531,1.1222,56.2529,1,3
18,18-07,-0.1383,0.3866,1.1222,56.9195,1,3
18,18-08,-0.8491,1.9009,1.1222,55.3833,1,1
18,18-09,0.303,-2.2491,1.1222,49.0599,0,2
18,18-10,-0.9759,0.5744,1.1222,52.7979,1,2
18,18-11,1.1499,-0.1664,1.1222,58.1934,1,2
18,18-12,0.4371,-2.0981,1.1222,48.8205,0,3
19,19-01,0.7439,-0.1928,-0.5428,54.4661,1,0
19,19-02,2.2183,1.558,-0.5428,66.2423,0,2
19,19-03,1.1447,-0.3659,-0.5428,51.0922,1,1
19,19-04,-0.8459,0.1958,-0.5428,49.6108,0,1
19,19-05,-0.7294,0.4687,-0.5428,42.6944,0,3
19,19-06,-1.2163,0.8576,-0.5428,42.9955,0,0
19,19-07,-0.7154,1.9755,-0.5428,50.4773,0,1
19,19-08,-0.0445,-0.2296,-0.5428,49.2454,0,2
19,19-09,-0.7078,0.0573,-0.5428,48.7719,0,1
19,19-10,-0.3206,-2.3788,-0.5428,39.3274,0,4
19,19-11,0.7681,1.1209,-0.5428,56.3922,0,4
19,19-12,1.4274,-1.0396,-0.5428,56.9223,0,1
20,20-01,0.8925,0.233,0.2098,61.4677,0,1
20,20-02,0.1882,-0.9733,0.2098,47.1685,1,1
20,20-03,0.4056,0.3078,0.2098,51.8506,0,1
20,20-04,-1.068,1.516,0.2098,49.4691,0,0
20,20-05,-0.0685,-0.5333,0.2098,53.7255,0,1
20,20-06,1.1155,-1.0216,0.2098,53.3734,1,1
20,20-07,-0.9221,1.8543,0.2098,53.0131,1,0
20,20-08,-0.2802,-0.3375,0.2098,50.706,0,3
20,20-09,-0.246,1.5427,0.2098,51.1481,1,3
20,20-10,-1.2347,1.4105,0.2098,47.8991,0,1
20,20-11,1.4199,0.8799,0.2098,55.6436,1,1
20,20-12,-0.6095,0.0493,0.2098,47.907,0,1
21,21-01,1.0015,1.3329,0.3029,56.2753,0,2
21,21-02,-0.232,-0.1268,0.3029,44.9184,0,0
21,21-03,0.938,0.5647,0.3029,57.9788,1,3
21,21-04,-0.1103,0.8703,0.3029,54.9457,0,1
21,21-05,1.16,-0.1701,0.3029,56.7109,0,2
21,21-06,-0.3888,-0.3229,0.3029,50.6556,0,0
21,21-07,0.0537,-0.1537,0.3029,52.1067,0,0
21,21-08,0.6655,-0.7543,0.3029,49.8423,1,1
21,21-09,0.7123,0.5261,0.3029,54.5862,0,2
21,21-10,1.1959,-0.0991,0.3029,50.2212,0,0
21,21-11,-0.7959,-1.4748,0.3029,46.2788,0,0
21,21-12,0.5052,0.1187,0.3029,46.2317,1,1
22,22-01,0.9418,-0.103,-1.4772,49.1242,0,0
22,22-02,-0.0634,-0.9501,-1.4772,39.649,0,2
22,22-03,-1.8987,0.0235,-1.4772,37.9287,0,0
22,22-04,-0.2376,-0.2825,-1.4772,40.8203,0,1
22,22-05,0.2507,-2.4514,-1.4772,37.1672,0,0
22,22-06,-0.6584,-0.5085,-1.4772,41.7798,0,0
22,22-07,-0.1924,0.1555,-1.4772,48.6822,0,3
22,22-08,1.3721,0.6476,-1.4772,57.1694,0,2
22,22-09,1.7296,0.3704,-1.4772,50.1922,0,2
22,22-10,1.0053,-0.9949,-1.4772,53.2034,1,1
22,22-11,1.725,-0.5182,-1.4772,48.8448,0,2
22,22-12,-0.6887,-0.0651,-1.4772,45.9382,1,2
23,23-01,1.2137,-0.062,-1.2354,53.0139,0,1
23,23-02,-0.1061,0.9357,-1.2354,49.9655,1,0
23,23-03,1.6879,-1.7763,-1.2354,47.5903,0,1
23,23-04,-1.346,0.7178,-1.2354,37.5533,0,3
23,23-05,2.431,0.0918,-1.2354,62.0518,0,3
23,23-06,-0.9663,0.1963,-1.2354,44.9278,0,2
23,23-07,-0.7063,-0.2278,-1.2354,47.8602,0,0
23,23-08,1.2664,0.579,-1.2354,60.1729,1,2
23,23-09,-1.9458,0.2912,-1.2354,37.6529,0,1
23,23-10,1.4237,1.1099,-1.2354,59.8165,1,1
23,23-11,-0.5969,0.5616,-1.2354,48.9045,0,1
23,23-12,1.2973,-0.9264,-1.2354,48.5876,1,1
24,24-01,1.3758,-1.9525,0.2452,53.0249,1,1
24,24-02,0.4988,0.2696,0.2452,49.3423,0,2
24,24-03,1.1009,0.3453,0.2452,56.812,1,2
24,24-04,1.1978,-1.7293,0.2452,51.9748,0,3
24,24-05,0.884,0.376,0.2452,56.5315,1,1
24,24-06,-0.1538,-0.2335,0.2452,53.1016,0,0
24,24-07,-0.3043,0.6779,0.2452,45.7657,0,0
24,24-08,1.2294,2.4416,0.2452,65.5929,1,1
24,24-09,-0.0865,-0.5351,0.2452,52.1811,0,2
24,24-10,-0.6502,-0.8187,0.2452,40.1716,0,1
24,24-11,0.2426,-0.2908,0.2452,51.6279,0,3
24,24-12,-0.0023,-0.7081,0.2452,50.6317,1,0
